Company Name,Current Year,Years_to_Bankrupt,Bankruptcy,"Total Revenue [CY 2005] ($USDmm, Historical rate)","Gross Profit [CY 2005] ($USDmm, Historical rate)","Net Income [CY 2005] ($USDmm, Historical rate)",EBITDA,"Total Current Assets [CY 2005] ($USDmm, Historical rate)","Total Assets [CY 2005] ($USDmm, Historical rate)","Total Current Liabilities [CY 2005] ($USDmm, Historical rate)","Cash from Ops. [CY 2005] ($USDmm, Historical rate)",Net_Debt_EBITDA,Profit_Margin,Net Debt,Net Workng Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,"Market Capitalization [My Setting] [1/31/2005] ($USDmm, Historical rate)","Market Capitalization [My Setting] [01/31/2006] ($USDmm, Historical rate)"
Chambers Street Properties,2005,16.0,0.0,5.5,4.0,-0.1,2.9,22.9,94.1,3.6,2.9,4.4,0.0,12.8,19.3,6.3,4.4,,
"CE Generation, LLC",2005,16.0,0.0,484.0,255.3,64.6,252.0,154.7,1421.5,120.9,138.3,2.4,0.1,609.8,33.8,1.3,4.4,,
Huntsman International LLC,2005,16.0,0.0,8445.9,1431.0,139.4,1057.8,3074.3,8633.0,1880.7,981.0,4.1,0.0,4326.4,1193.6,1.6,4.4,,
"School Specialty, Inc. (OTCPK:SCOO)",2005,8.0,1.0,1010.0,430.9,24.3,96.3,237.8,1112.6,87.0,86.0,3.9,0.0,379.4,150.8,2.7,4.4,,
"School Specialty, Inc. (OTCPK:SCOO)",2005,8.0,1.0,1010.0,430.9,24.3,96.3,237.8,1112.6,87.0,86.0,3.9,0.0,379.4,150.8,2.7,4.4,,
PacifiCorp,2005,16.0,0.0,3289.9,1275.2,301.2,1202.3,1225.9,12827.4,1374.8,926.0,3.4,0.1,4087.8,-148.9,0.9,4.4,,
Delaware Life Insurance Company,2005,16.0,0.0,1560.2,491.8,133.2,299.3,5022.5,46006.8,1802.8,306.2,4.6,0.1,1385.8,3219.7,2.8,4.5,,
Legacy Reserves Inc.,2005,14.0,1.0,25.5,17.5,5.9,16.2,8.3,86.9,4.6,14.4,4.0,0.2,65.3,3.7,1.8,4.5,,
Legacy Reserves Inc.,2005,16.0,0.0,25.5,17.5,5.9,16.2,8.3,86.9,4.6,14.4,4.0,0.2,65.3,3.7,1.8,4.5,,
SemGroup Corporation,2005,16.0,0.0,20173.8,735.3,164.2,388.1,2556.8,3554.6,2142.9,196.4,2.3,0.0,892.6,413.9,1.2,4.5,,
"Norcraft Companies, Inc.",2005,16.0,0.0,404.6,122.1,29.7,66.5,64.1,372.2,33.0,53.2,3.6,0.1,242.1,31.1,1.9,4.6,,
"J.Crew Group, Inc.",2005,16.0,0.0,953.2,398.0,3.8,113.0,215.2,337.3,142.5,56.8,2.3,0.0,258.8,72.7,1.5,4.6,,
Rochester Gas and Electric Co,2005,16.0,0.0,1105.5,488.9,79.0,308.5,395.2,2382.3,188.1,135.4,2.0,0.1,617.0,207.1,2.1,4.6,,
"CVR Energy, Inc. (NYSE:CVI)",2005,16.0,0.0,2435.0,352.6,-66.8,312.5,336.3,1221.5,228.3,95.2,1.4,0.0,434.4,108.0,1.5,4.6,,
Houghton Mifflin Harcourt Publishing Company,2005,7.0,1.0,1282.1,580.7,-48.3,198.6,709.9,2298.4,343.2,199.6,4.6,0.0,911.6,366.7,2.1,4.6,,
Citadel Broadcasting Corporation,2005,4.0,1.0,419.9,305.2,69.8,165.7,106.8,2333.3,84.8,140.8,3.9,0.2,647.9,22.0,1.3,4.6,,
Citadel Broadcasting Corporation,2005,4.0,1.0,419.9,305.2,69.8,165.7,106.8,2333.3,84.8,140.8,3.9,0.2,647.9,22.0,1.3,4.6,,
Baltimore Gas and Electric Company,2005,16.0,0.0,3009.3,802.7,189.0,652.4,692.4,4742.1,975.5,319.8,2.3,0.1,1474.4,-283.1,0.7,4.6,,
Affinity Gaming,2005,16.0,0.0,535.8,139.4,50.8,124.1,85.0,534.9,25.9,92.2,3.4,0.1,426.9,59.1,3.3,4.6,,
Oklahoma Gas & Electric Company,2005,16.0,0.0,1720.7,417.3,129.7,366.6,404.1,3255.0,368.7,205.7,2.6,0.1,953.2,35.4,1.1,4.6,,
Resources Global Services Group (OTCPK:RGSG),2005,16.0,0.0,5.3,5.3,2.4,3.3,16.8,20.8,17.1,2.5,3.6,0.5,11.7,-0.3,1.0,4.7,,
Spire Alabama Inc.,2005,16.0,0.0,569.8,156.4,37.0,115.3,311.8,950.0,305.8,56.2,2.3,0.1,262.9,6.0,1.0,4.7,,
"Dominion Energy Questar Pipeline, LLC",2005,16.0,0.0,184.3,148.2,26.6,109.5,29.3,774.4,75.8,77.7,3.3,0.1,364.6,-46.5,0.4,4.7,,
The Potomac Edison Company,2005,16.0,0.0,971.2,198.7,66.4,163.3,145.0,1366.4,193.4,90.7,2.6,0.1,426.2,-48.4,0.7,4.7,,
Mohegan Tribal Gaming Authority,2005,16.0,0.0,1365.6,564.9,27.7,358.8,141.2,1886.1,290.6,244.8,3.2,0.0,1151.7,-149.4,0.5,4.7,,
DTE Electric Company,2005,16.0,0.0,4462.0,1564.0,274.0,1323.0,1176.0,13169.0,1262.0,1029.0,3.7,0.1,4842.2,-86.0,0.9,4.7,,
Tribune Media Company,2005,3.0,1.0,5426.8,2765.1,534.7,1426.1,1468.4,14546.2,1446.7,659.4,2.2,0.1,3108.9,21.7,1.0,4.7,,
Tribune Media Company,2005,3.0,1.0,5426.8,2765.1,534.7,1426.1,1468.4,14546.2,1446.7,659.4,2.2,0.1,3108.9,21.7,1.0,4.7,,
"Talen Energy Supply, LLC",2005,16.0,0.0,4088.0,1243.0,542.0,1171.0,2380.0,12664.0,2177.0,838.0,3.4,0.1,3958.0,203.0,1.1,4.7,,
Northwest Pipeline LLC,2005,16.0,0.0,321.5,268.1,69.0,203.3,179.5,1616.1,92.4,97.6,2.3,0.2,461.5,87.1,1.9,4.7,,
"Ferrellgas, L.P.",2005,16.0,0.0,1826.6,632.4,124.4,182.7,301.9,1545.4,241.2,144.0,3.7,0.1,683.3,60.7,1.3,4.7,,
Northern States Power Company,2005,16.0,0.0,3853.6,969.2,237.7,890.3,1167.0,8791.4,1023.7,488.7,2.6,0.1,2323.7,143.3,1.1,4.8,,
"Vectren Utility Holdings, Inc.",2005,16.0,0.0,1781.8,664.4,95.1,357.9,655.9,3391.2,720.3,265.8,3.5,0.1,1267.0,-64.4,0.9,4.8,,
Grays Harbor Public Utility District,2005,16.0,0.0,107.7,19.6,3.0,11.9,34.4,208.8,14.8,11.5,4.6,0.0,55.0,19.6,2.3,4.8,,
"Townsquare Media, Inc. (NYSE:TSQ)",2005,5.0,1.0,76.4,25.7,-6.6,19.0,16.1,374.5,12.4,17.5,4.4,-0.1,83.8,3.7,1.3,4.8,,
"NuStar Logistics, L.P.",2005,16.0,0.0,234.4,100.4,73.5,135.2,196.5,1025.8,50.3,121.0,4.3,0.3,580.0,146.2,3.9,4.8,,
Enerflex Ltd. (TSX:EFX),2005,16.0,0.0,575.3,125.2,34.4,65.7,230.4,484.1,134.2,18.5,1.4,0.1,88.7,96.2,1.7,4.8,,
"RSC Holdings III, LLC",2005,16.0,0.0,1460.8,478.0,121.1,355.8,271.8,2764.4,421.1,488.6,6.6,0.1,2344.7,-149.3,0.6,4.8,,
"Par Pacific Holdings, Inc. (NYSE:PARR)",2005,6.0,1.0,93.5,68.3,5.7,26.5,61.6,693.4,106.8,50.7,9.2,0.1,243.5,-45.2,0.6,4.8,,
"Par Pacific Holdings, Inc. (NYSE:PARR)",2005,6.0,1.0,93.5,68.3,5.7,26.5,61.6,693.4,106.8,50.7,9.2,0.1,243.5,-45.2,0.6,4.8,,
Northstar Aerospace Inc.,2005,7.0,1.0,137.6,29.4,5.4,19.4,85.7,147.5,48.6,11.1,2.8,0.0,53.4,37.1,1.8,4.8,,
Northstar Aerospace Inc.,2005,7.0,1.0,137.6,29.4,5.4,19.4,85.7,147.5,48.6,11.1,2.8,0.0,53.4,37.1,1.8,4.8,,
Gulf Power Company,2005,16.0,0.0,1083.6,319.7,76.0,249.2,298.0,2175.8,316.3,152.7,3.0,0.1,740.1,-18.3,0.9,4.8,,
Delmarva Power & Light Company,2005,16.0,0.0,1343.8,268.9,74.7,234.5,259.0,2303.6,408.2,144.1,3.0,0.1,698.8,-149.2,0.6,4.8,,
Golden State Water Company,2005,16.0,0.0,225.9,140.7,27.8,83.4,56.1,807.2,44.0,52.1,3.0,0.1,253.5,12.1,1.3,4.9,,
"Hawaiian Electric Company, Inc.",2005,16.0,0.0,1801.7,448.7,73.9,289.9,457.4,3081.5,439.1,184.7,3.1,0.0,901.6,18.3,1.0,4.9,,
"iHeartMedia, Inc. (NasdaqGS:IHRT)",2005,13.0,1.0,6126.6,3774.9,935.7,1983.3,2398.3,18727.8,2107.3,1419.1,3.5,0.2,6941.6,291.0,1.1,4.9,,
"iHeartMedia, Inc. (NasdaqGS:IHRT)",2005,16.0,0.0,6126.6,3774.9,935.7,1983.3,2398.3,18727.8,2107.3,1419.1,3.5,0.2,6941.6,291.0,1.1,4.9,,
Temple Hotels Inc.,2005,16.0,0.0,9.1,3.3,0.7,2.2,3.6,19.9,2.3,1.6,3.6,0.1,8.0,1.3,1.6,4.9,,
Oncor Electric Delivery Company LLC,2005,16.0,0.0,2394.0,1599.0,351.0,1194.0,455.0,9911.0,786.0,869.0,3.6,0.1,4262.6,-331.0,0.6,4.9,,
Wisconsin Electric Power Company,2005,16.0,0.0,2938.0,884.5,284.8,797.3,896.5,7909.2,1132.5,481.3,3.0,0.1,2391.9,-236.0,0.8,5.0,,
Corporate Property Associates 16 - Global Inc.,2005,16.0,0.0,47.6,39.0,16.3,31.1,314.5,929.6,25.4,40.3,6.5,0.3,203.1,289.1,12.4,5.0,,
Public Service Company of Oklahoma,2005,16.0,0.0,1304.1,395.6,57.9,204.8,353.2,2355.5,512.4,128.2,3.2,0.0,647.2,-159.2,0.7,5.0,,
Boise Cascade Holdings LLC,2005,16.0,0.0,5907.4,734.7,121.4,442.9,1135.5,2813.7,546.4,306.7,3.5,0.0,1550.2,589.1,2.1,5.1,,
Sacramento Municipal Utility District,2005,16.0,0.0,1225.2,404.1,83.3,275.9,949.6,4432.4,877.5,444.9,8.2,0.1,2256.9,72.1,1.1,5.1,,
"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",2005,16.0,0.0,2666.1,1260.3,61.6,747.5,1050.2,4918.3,793.8,510.1,3.5,0.0,2593.8,256.4,1.3,5.1,,
AK Steel Corporation,2005,16.0,0.0,5284.6,634.9,0.2,356.6,1649.3,4027.0,879.8,117.8,1.7,0.0,599.1,769.5,1.9,5.1,,
"Morton's Restaurant Group, Inc.",2005,16.0,0.0,300.7,60.1,-4.2,26.9,55.2,285.0,54.8,23.8,4.5,0.0,121.1,0.4,1.0,5.1,,
Quebecor Media Inc.,2005,16.0,0.0,2312.5,628.1,82.8,622.4,733.7,5727.1,827.3,405.5,3.3,0.0,2066.4,-93.6,0.9,5.1,,
Tampa Electric Company,2005,16.0,0.0,2295.7,1037.2,176.7,613.7,738.2,5132.0,847.7,335.7,2.8,0.1,1712.2,-109.5,0.9,5.1,,
Clearwater Seafoods Limited Partnership,2005,16.0,0.0,270.1,62.0,17.0,33.2,98.2,335.2,34.1,31.0,4.8,0.1,158.7,64.1,2.9,5.1,,
Affinia Group Intermediate Holdings Inc.,2005,16.0,0.0,2132.0,318.0,-30.0,105.0,907.0,1440.0,408.0,103.0,5.1,0.0,530.3,499.0,2.2,5.1,,
British Columbia Ferry Services Inc.,2005,16.0,0.0,494.5,145.5,37.3,105.1,85.4,706.5,86.2,77.5,3.8,0.1,399.4,-0.8,1.0,5.2,,
Pennsylvania Electric Company,2005,16.0,0.0,1122.0,451.2,26.8,127.6,187.0,2698.6,389.8,143.1,5.8,0.0,737.5,-202.8,0.5,5.2,,
Forestar Group Inc. (NYSE:FOR),2005,16.0,0.0,155.5,77.1,34.9,46.0,26.6,543.9,12.3,21.1,2.4,0.2,109.0,14.3,2.2,5.2,,
Alabama Power Company,2005,16.0,0.0,4647.8,1688.9,532.2,1512.5,1194.2,13689.9,1720.5,908.1,3.1,0.1,4703.9,-526.3,0.7,5.2,,
FortisAlberta Inc.,2005,16.0,0.0,218.0,119.5,26.7,119.8,64.0,1009.6,91.2,75.0,3.3,0.1,390.5,-27.2,0.7,5.2,,
Seattle City Light,2005,16.0,0.0,748.6,355.6,81.9,198.5,296.9,2056.7,193.1,253.2,6.7,0.1,1328.0,103.8,1.5,5.2,,
Hilton Worldwide Holdings Inc. (NYSE:HLT),2005,16.0,0.0,4437.0,1667.0,460.0,1067.0,2089.0,8743.0,864.0,486.0,2.4,0.1,2560.8,1225.0,2.4,5.3,,
"Cinemark Holdings, Inc. (NYSE:CNK)",2005,16.0,0.0,1020.6,358.1,-25.4,205.7,206.7,1864.9,160.1,165.3,4.2,0.0,872.2,46.6,1.3,5.3,,
"Duke Energy Carolinas, LLC",2005,16.0,0.0,5311.0,2559.0,1824.0,3213.8,7957.0,54723.0,8418.0,2818.0,4.6,0.3,14879.9,-461.0,0.9,5.3,,
Fortaleza Energy Inc.,2005,16.0,0.0,15.8,12.4,1.8,9.2,9.9,101.8,35.2,3.7,2.1,0.1,19.6,-25.3,0.3,5.3,,
Vericast Corp.,2005,16.0,0.0,618.4,224.3,40.7,131.1,64.1,1149.9,91.6,117.0,4.7,0.1,620.1,-27.5,0.7,5.3,,
Xperience Restaurant Group,2005,6.0,1.0,534.3,80.1,13.4,51.3,44.1,310.9,66.8,31.4,3.3,0.0,167.2,-22.7,0.7,5.3,,
Xperience Restaurant Group,2005,13.0,1.0,534.3,80.1,13.4,51.3,44.1,310.9,66.8,31.4,3.3,0.0,167.2,-22.7,0.7,5.3,,
Cineplex Entertainment LP,2005,16.0,0.0,420.6,180.6,11.1,66.9,65.0,685.3,119.0,53.7,4.3,0.0,289.7,-54.0,0.5,5.4,,
"MidAmerican Funding, LLC",2005,16.0,0.0,3166.0,1147.0,195.0,676.0,712.0,7157.4,815.3,424.0,3.4,0.1,2291.6,-103.3,0.9,5.4,,
Georgia Power Company,2005,16.0,0.0,7075.8,3260.7,747.8,2065.0,2000.2,17898.4,2088.3,1082.9,2.8,0.1,5864.6,-88.1,1.0,5.4,,
Indiana Michigan Power Company,2005,16.0,0.0,1892.6,556.4,146.9,538.7,497.7,5262.3,947.5,292.1,2.9,0.1,1583.8,-449.8,0.5,5.4,,
Stater Bros. Holdings Inc.,2005,16.0,0.0,3400.9,913.8,26.3,143.4,540.0,1048.4,265.3,90.2,3.4,0.0,490.4,274.7,2.0,5.4,,
Restaurant Brands International Inc. (NYSE:QSR),2005,16.0,0.0,1991.0,684.0,51.0,306.0,406.0,2476.0,370.0,158.0,2.8,0.0,859.9,36.0,1.1,5.4,,
Mill Run Golf Club,2005,1.0,1.0,2.8,0.7,0.2,0.4,0.5,6.5,2.1,0.6,9.0,0.1,3.4,-1.6,0.2,5.4,,
Mill Run Golf Club,2005,1.0,1.0,2.8,0.7,0.2,0.4,0.5,6.5,2.1,0.6,9.0,0.1,3.4,-1.6,0.2,5.4,,
AIM Health Group Inc.,2005,16.0,0.0,22.1,5.7,0.5,1.3,4.0,9.5,3.4,0.5,2.3,0.0,2.9,0.6,1.2,5.5,,
"Dr Pepper Snapple Group, Inc.",2005,16.0,0.0,3205.0,2085.0,477.0,931.0,1331.0,7433.0,1136.0,583.0,3.5,0.1,3230.6,195.0,1.2,5.5,,
Omaha Public Power District,2005,16.0,0.0,666.6,330.5,82.2,208.8,435.5,3120.8,281.5,189.7,5.1,0.1,1064.9,154.0,1.5,5.6,,
Targa Energy LP,2005,16.0,0.0,371.5,68.7,12.3,55.1,110.3,742.7,93.4,47.0,4.8,0.0,264.5,16.9,1.2,5.6,,
Idaho Power Company,2005,16.0,0.0,837.7,455.7,71.8,259.6,214.3,3074.7,188.9,166.0,3.6,0.1,934.6,25.4,1.1,5.6,,
Ahern Rentals Inc.,2005,6.0,1.0,203.7,73.5,5.6,43.1,52.7,357.2,31.5,52.1,6.8,0.0,293.9,21.2,1.7,5.6,,
"Owens-Brockway Glass Container, Inc.",2005,16.0,0.0,6432.1,1262.9,-222.4,755.5,2104.3,7759.5,1546.1,708.3,5.3,0.0,3996.6,558.2,1.4,5.6,,
"Dominion Energy South Carolina, Inc.",2005,16.0,0.0,2421.0,908.0,258.0,1009.0,639.0,7366.0,1000.0,410.0,2.3,0.1,2320.7,-361.0,0.6,5.7,,
"Town Sports International Holdings, Inc. (OTCPK:CLUB.Q)",2005,16.0,0.0,388.6,116.8,1.8,79.8,77.3,433.8,79.5,63.3,4.5,0.0,359.9,-2.2,1.0,5.7,,
"National Mentor Holdings, Inc.",2005,16.0,0.0,709.3,173.3,15.8,76.4,132.0,450.0,78.2,52.4,3.9,0.0,298.0,53.8,1.7,5.7,,
Southern Star Central Corp.,2005,16.0,0.0,181.9,143.7,15.2,91.9,103.1,1016.3,277.6,65.6,4.1,0.1,373.1,-174.5,0.4,5.7,,
Lions Gate Entertainment Corp. (NYSE:LGF.A),2005,16.0,0.0,865.5,449.9,-12.7,14.6,196.3,946.2,191.9,71.3,27.8,0.0,405.9,4.4,1.0,5.7,,
"Fidelity National Information Services, Inc. (NYSE:FIS)",2005,16.0,0.0,2688.2,947.3,196.6,606.3,791.2,4189.0,597.8,426.0,4.0,0.1,2431.3,193.4,1.3,5.7,,
"Reddy Ice Holdings, Inc.",2005,7.0,1.0,306.3,118.3,-12.1,79.2,72.6,603.8,39.5,55.6,4.0,0.0,319.2,33.1,1.8,5.7,,
"Reddy Ice Holdings, Inc.",2005,7.0,1.0,306.3,118.3,-12.1,79.2,72.6,603.8,39.5,55.6,4.0,0.0,319.2,33.1,1.8,5.7,,
The AZEK Company Inc. (NYSE:AZEK),2005,16.0,0.0,222.6,55.9,-11.7,24.7,84.0,464.9,51.2,35.1,8.2,-0.1,202.3,32.8,1.6,5.8,,
"Monitronics International, Inc. (OTCPK:SCTY)",2005,14.0,1.0,175.1,154.2,-23.3,120.6,18.5,531.9,30.6,84.2,4.0,-0.1,486.0,-12.1,0.6,5.8,,
"Monitronics International, Inc. (OTCPK:SCTY)",2005,16.0,0.0,175.1,154.2,-23.3,120.6,18.5,531.9,30.6,84.2,4.0,-0.1,486.0,-12.1,0.6,5.8,,
"Panhandle Eastern Pipe Line Company, LP",2005,16.0,0.0,505.2,300.8,101.6,266.7,384.9,2619.3,281.9,205.4,4.5,0.2,1186.8,103.0,1.4,5.8,,
"Liberty Interactive, Inc.",2005,16.0,0.0,6501.0,2389.0,298.0,1365.0,2729.0,18351.0,2667.0,754.0,3.2,0.0,4368.0,62.0,1.0,5.8,,
TerraVest Industries Inc. (TSX:TVK),2005,16.0,0.0,170.0,43.2,11.3,20.1,106.0,246.1,98.3,12.4,3.6,0.1,72.0,7.7,1.1,5.8,,
"Armstrong World Industries, Inc. (NYSE:AWI)",2005,16.0,0.0,3326.6,697.0,111.1,248.5,1561.3,4606.0,433.3,169.7,4.0,0.0,986.5,1128.0,3.6,5.8,,
"Duke Energy Florida, LLC",2005,16.0,0.0,3955.0,1188.0,260.0,944.0,1324.0,8318.0,792.0,430.0,2.7,0.1,2501.6,532.0,1.7,5.8,,
Nebraska Public Power District,2005,16.0,0.0,726.8,290.5,41.4,189.8,369.1,3043.0,188.9,217.6,6.7,0.1,1267.9,180.2,2.0,5.8,,
Public Service Company of New Hampshire,2005,16.0,0.0,1128.4,403.7,41.7,188.2,248.5,2294.6,125.1,155.3,4.8,0.0,905.2,123.4,2.0,5.8,,
Air Canada (TSX:AC),2005,16.0,0.0,8114.3,2072.8,-17.2,633.2,2044.4,8804.0,2280.4,332.9,3.1,0.0,1943.9,-236.0,0.9,5.8,,
Newfoundland Power Inc.,2005,16.0,0.0,360.3,100.0,26.9,94.5,63.9,729.3,63.9,58.2,3.6,0.1,340.2,0.0,1.0,5.8,,
Southern Power Company,2005,16.0,0.0,781.0,331.1,114.8,331.8,143.1,2303.0,219.0,201.5,3.6,0.1,1184.5,-75.9,0.7,5.9,,
Nova Gas Transmission Ltd.,2005,16.0,0.0,1043.2,724.9,145.0,724.9,120.1,3883.8,169.9,383.5,3.1,0.1,2261.7,-49.8,0.7,5.9,,
Assured Guaranty Municipal Corp.,2005,16.0,0.0,665.3,571.6,352.0,505.3,1643.1,9616.1,2988.4,549.9,6.4,0.5,3244.0,-1345.3,0.5,5.9,,
Enlivant,2005,16.0,0.0,204.9,68.4,12.3,44.2,16.5,420.7,29.1,28.8,3.9,0.1,170.2,-12.6,0.6,5.9,,
"Pacific Ethanol Central, LLC",2005,4.0,1.0,935.5,87.4,32.2,69.5,110.2,222.0,60.3,26.7,2.3,0.0,157.8,49.9,1.8,5.9,,
"Pacific Ethanol Central, LLC",2005,4.0,1.0,935.5,87.4,32.2,69.5,110.2,222.0,60.3,26.7,2.3,0.0,157.8,49.9,1.8,5.9,,
Susser Holdings Corporation,2005,16.0,0.0,1896.3,198.2,-20.6,36.0,90.3,361.1,90.5,29.1,4.8,0.0,172.1,-0.2,1.0,5.9,,
"Indiana Gas Company, Inc.",2005,16.0,0.0,831.7,235.8,32.3,119.4,299.1,1405.6,374.1,79.1,3.9,0.0,469.2,-75.0,0.8,5.9,,
Texas-New Mexico Power Company,2005,16.0,0.0,155.9,113.5,26.7,80.2,81.3,1169.1,44.9,67.2,5.0,0.2,399.4,36.4,1.8,5.9,,
Koppers Inc.,2005,16.0,0.0,978.4,159.5,18.9,106.8,290.1,540.7,159.0,59.1,3.3,0.0,352.4,131.1,1.8,6.0,,
Ges Technologies Inc.,2005,16.0,0.0,2.3,1.7,0.7,0.8,1.4,1.6,0.5,0.5,3.5,0.3,2.7,0.9,2.7,6.0,,
Sierra Pacific Power Company,2005,16.0,0.0,1145.7,385.0,52.1,232.9,455.2,2546.3,266.1,160.1,4.1,0.0,957.2,189.1,1.7,6.0,,
United Refining Company,2005,16.0,0.0,1860.0,178.3,11.3,61.7,222.5,439.8,108.0,34.6,3.4,0.0,207.9,114.5,2.1,6.0,,
"Hughes Network Systems, LLC",2005,16.0,0.0,806.9,352.7,24.0,86.5,450.0,756.5,230.5,40.8,2.8,0.0,245.7,219.5,2.0,6.0,,
Energy Harbor Corp. (OTCPK:ENGH),2005,13.0,1.0,3967.2,1695.2,205.2,734.5,1108.3,7100.5,2130.4,647.3,5.3,0.1,3907.5,-1022.1,0.5,6.0,,
Energy Harbor Corp. (OTCPK:ENGH),2005,16.0,0.0,3967.2,1695.2,205.2,734.5,1108.3,7100.5,2130.4,647.3,5.3,0.1,3907.5,-1022.1,0.5,6.0,,
IASIS Healthcare LLC,2005,16.0,0.0,1394.6,419.5,31.8,199.4,355.0,1850.6,203.2,139.4,4.2,0.0,845.5,151.8,1.7,6.1,,
Liberty Property Limited Partnership,2005,16.0,0.0,588.2,411.2,272.0,398.1,308.3,4500.3,124.3,360.7,5.5,0.5,2189.6,184.0,2.5,6.1,,
"Qurate Retail, Inc. (NasdaqGS:QRTE.A)",2005,16.0,0.0,7646.0,2137.0,-33.0,1489.0,5577.0,41965.0,5344.0,964.0,3.9,0.0,5851.8,233.0,1.0,6.1,,
Point.360,2005,12.0,1.0,43.1,13.6,-1.6,3.7,11.7,47.2,11.9,2.8,4.5,0.0,16.8,-0.2,1.0,6.1,,
Point.360,2005,16.0,0.0,43.1,13.6,-1.6,3.7,11.7,47.2,11.9,2.8,4.5,0.0,16.8,-0.2,1.0,6.1,,
Tucson Electric Power Company,2005,16.0,0.0,937.5,410.3,48.3,320.5,304.5,2617.2,246.3,243.0,4.6,0.1,1480.7,58.2,1.2,6.1,,
Vitamin OldCo Corporation,2005,16.0,0.0,1317.7,610.6,18.7,110.6,501.3,1025.6,202.6,64.2,3.6,0.0,392.6,298.7,2.5,6.1,,
Battalion Oil Corporation (AMEX:BATL),2005,14.0,1.0,63.8,47.7,0.5,27.4,9.6,143.3,14.3,18.4,4.1,0.0,112.9,-4.7,0.7,6.1,,
Battalion Oil Corporation (AMEX:BATL),2005,16.0,0.0,63.8,47.7,0.5,27.4,9.6,143.3,14.3,18.4,4.1,0.0,112.9,-4.7,0.7,6.1,,
SaskEnergy Incorporated,2005,16.0,0.0,1114.2,156.1,65.8,153.2,312.1,1176.2,338.8,102.1,4.1,0.1,628.1,-26.7,0.9,6.2,,
Ohio Power Company,2005,16.0,0.0,2634.5,918.0,245.8,728.0,703.4,6330.7,1117.6,368.8,3.1,0.1,2278.6,-414.2,0.6,6.2,,
American Transmission Company LLC,2005,16.0,0.0,296.0,189.1,64.4,179.1,29.2,1488.9,140.5,114.5,4.0,0.2,707.4,-111.3,0.2,6.2,,
TransCanada PipeLines Limited,2005,16.0,0.0,5253.9,2631.3,1055.3,2631.3,1343.5,20687.2,2705.9,1631.8,3.8,0.2,10104.2,-1362.4,0.5,6.2,,
Public Service Company of Colorado,2005,16.0,0.0,3866.6,761.0,211.4,682.8,1356.1,7986.0,1322.9,385.8,3.5,0.1,2403.5,33.2,1.0,6.2,,
Louisville Gas and Electric Company,2005,16.0,0.0,1424.0,354.0,129.0,379.0,472.0,3146.0,620.0,150.0,2.5,0.1,936.1,-148.0,0.8,6.2,,
Monotype Imaging Holdings Inc.,2005,16.0,0.0,73.8,61.9,7.1,36.7,16.2,203.9,30.6,23.4,4.0,0.1,146.8,-14.4,0.5,6.3,,
Duke Realty Limited Partnership,2005,16.0,0.0,1061.8,464.2,385.7,434.6,204.2,5646.7,239.7,409.6,5.9,0.4,2572.8,-35.5,0.9,6.3,,
Aleris Corporation,2005,4.0,1.0,2184.9,228.2,74.3,186.2,810.8,1554.1,357.0,102.3,3.5,0.0,644.3,453.8,2.3,6.3,,
Aleris Corporation,2005,4.0,1.0,2184.9,228.2,74.3,186.2,810.8,1554.1,357.0,102.3,3.5,0.0,644.3,453.8,2.3,6.3,,
GOALS Marketing Holdings Inc.,2005,16.0,0.0,1.9,0.8,0.1,0.5,0.4,6.0,0.6,0.4,5.4,0.1,2.7,-0.2,0.7,6.3,,
The Connecticut Light and Power Company,2005,16.0,0.0,3466.4,1165.9,94.8,513.3,494.6,5765.1,468.5,297.3,3.7,0.0,1888.9,26.1,1.1,6.4,,
"Associated Materials, LLC",2005,16.0,0.0,1173.6,267.3,22.5,89.3,317.0,817.6,162.4,47.9,3.4,0.0,304.5,154.6,2.0,6.4,,
"Eddie Bauer Holdings, Inc.",2005,4.0,1.0,1059.4,462.6,38.1,106.4,338.8,1153.2,231.5,37.8,2.3,0.0,240.5,107.3,1.5,6.4,,
Old Dominion Electric Cooperative,2005,16.0,0.0,737.7,149.8,12.1,106.8,279.4,1712.4,235.3,122.6,7.3,0.0,782.8,44.1,1.2,6.4,,
2100 Bloor Street West Limited Partnership,2005,16.0,0.0,7.4,5.1,1.3,2.7,1.1,18.1,0.6,1.8,4.3,0.2,11.4,0.5,1.8,6.4,,
Questar Gas Company,2005,16.0,0.0,962.5,168.6,36.0,122.6,305.0,1106.6,302.6,61.9,3.2,0.0,397.2,2.4,1.0,6.4,,
PECO Energy Company,2005,16.0,0.0,4910.0,1889.0,517.0,1249.0,795.0,10086.0,936.0,704.0,3.6,0.1,4521.4,-141.0,0.8,6.4,,
Public Service Company of New Mexico,2005,16.0,0.0,1164.8,289.9,51.3,189.0,450.9,3587.8,463.5,171.3,5.8,0.0,1101.9,-12.6,1.0,6.4,,
Coveris Holding Corp.,2005,16.0,0.0,200.5,23.4,-6.3,13.8,169.5,444.7,90.1,35.6,16.6,0.0,229.1,79.4,1.9,6.4,,
AEP Generating Company,2005,16.0,0.0,270.8,50.9,8.7,34.6,53.7,376.7,112.3,14.3,2.7,0.0,92.0,-58.6,0.5,6.4,,
